,index,Season,Week,Include,Team 1,Team 2,Spread Open,Spread Close,Spread Consensus Team 1,Spread Consensus Team 2,O/U Open,O/U Close,Over Consensus,Under Consensus,Moneyline Consensus Team 1,Moneyline Consensus Team 2,Game ID 1,Game ID 2
0,0,2020,1,True,Houston,KansasCity,56.5,53.5,50%,50%,-10,-9.5,72%,28%,26%,74%,20201HoustonKansasCity,20201KansasCityHouston
1,2,2020,1,True,LasVegas,Carolina,,,,,,,,,,,20201LasVegasCarolina,20201CarolinaLasVegas
2,4,2020,1,True,Miami,NewEngland,43.5,41.5,42%,58%,-5.5,-7,58%,42%,51%,49%,20201MiamiNewEngland,20201NewEnglandMiami
3,6,2020,1,True,Cleveland,Baltimore,48.5,47.5,40%,60%,-9,-7,72%,28%,25%,75%,20201ClevelandBaltimore,20201BaltimoreCleveland
4,8,2020,1,True,NYJets,Buffalo,40.0,39,20%,80%,-5.5,-6,49%,51%,23%,77%,20201NYJetsBuffalo,20201BuffaloNYJets
5,10,2020,1,True,LasVegas,Carolina,PK,-3,55%,45%,46.5,48,55%,45%,47%,53%,20201LasVegasCarolina,20201CarolinaLasVegas
6,12,2020,1,True,Seattle,Atlanta,-1,PK,42%,58%,48.5,49.5,62%,38%,48%,52%,20201SeattleAtlanta,20201AtlantaSeattle
7,14,2020,1,True,Philadelphia,Washington,-5.5,-5.5,51%,49%,45.5,41.5,57%,43%,63%,37%,20201PhiladelphiaWashington,20201WashingtonPhiladelphia
8,16,2020,1,True,Chicago,Detroit,PK,42,45%,55%,44.0,-2,55%,45%,36%,64%,20201ChicagoDetroit,20201DetroitChicago
9,18,2020,1,True,Indianapolis,Jacksonville,-7,-7,66%,34%,46.0,44.5,58%,42%,75%,25%,20201IndianapolisJacksonville,20201JacksonvilleIndianapolis
10,20,2020,1,True,GreenBay,Minnesota,46.5,44.5,52%,48%,-3,-1.5,44%,56%,45%,55%,20201GreenBayMinnesota,20201MinnesotaGreenBay
11,22,2020,1,True,LAChargers,Cincinnati,-3.5,-2.5,48%,52%,46.5,41,40%,60%,42%,58%,20201LAChargersCincinnati,20201CincinnatiLAChargers
12,24,2020,1,True,Arizona,SanFrancisco,45.5,-7.5,48%,52%,-7.5,50,64%,36%,35%,65%,20201ArizonaSanFrancisco,20201SanFranciscoArizona
13,26,2020,1,True,TampaBay,NewOrleans,50.5,48.5,58%,42%,-4.5,-4,82%,18%,46%,54%,20201TampaBayNewOrleans,20201NewOrleansTampaBay
14,28,2020,1,True,Dallas,LARams,-2.5,PK,66%,34%,50.5,52,60%,40%,60%,40%,20201DallasLARams,20201LARamsDallas
15,30,2020,1,True,Pittsburgh,NYGiants,-3,-6,69%,31%,48.0,44,59%,41%,79%,21%,20201PittsburghNYGiants,20201NYGiantsPittsburgh
16,32,2020,1,True,Tennessee,Denver,42.5,-3,67%,33%,-1.5,41.5,58%,42%,78%,22%,20201TennesseeDenver,20201DenverTennessee
17,34,2020,2,True,Cincinnati,Cleveland,46.0,44.5,58%,42%,-8.5,-6,59%,41%,42%,58%,20202CincinnatiCleveland,20202ClevelandCincinnati
18,36,2020,2,True,LARams,Philadelphia,49.0,46,70%,30%,-4.5,-1.5,75%,25%,56%,44%,20202LARamsPhiladelphia,20202PhiladelphiaLARams
19,38,2020,2,True,Carolina,TampaBay,48.0,47,39%,61%,-8.5,-8.5,74%,26%,21%,79%,20202CarolinaTampaBay,20202TampaBayCarolina
20,40,2020,2,True,Denver,Pittsburgh,44.0,41,29%,71%,-5,-6.5,46%,54%,10%,90%,20202DenverPittsburgh,20202PittsburghDenver
