,index,Season,Week,Include,Team 1,Team 2,Team 1 Final,Team 2 Final,Total Final,Game ID 1,Game ID 2
0,0,2016,18,True,Oakland,Houston,14,27,41,201618OaklandHouston,201618HoustonOakland
1,2,2016,18,True,Detroit,Seattle,6,26,32,201618DetroitSeattle,201618SeattleDetroit
2,4,2016,18,True,Miami,Pittsburgh,12,30,42,201618MiamiPittsburgh,201618PittsburghMiami
3,6,2016,18,True,NYGiants,GreenBay,13,38,51,201618NYGiantsGreenBay,201618GreenBayNYGiants
4,8,2016,19,True,Seattle,Atlanta,20,36,56,201619SeattleAtlanta,201619AtlantaSeattle
5,10,2016,19,True,Houston,NewEngland,16,34,50,201619HoustonNewEngland,201619NewEnglandHouston
6,12,2016,19,True,GreenBay,Dallas,34,31,65,201619GreenBayDallas,201619DallasGreenBay
7,14,2016,19,True,Pittsburgh,KansasCity,18,16,34,201619PittsburghKansasCity,201619KansasCityPittsburgh
8,16,2016,20,True,GreenBay,Atlanta,21,44,65,201620GreenBayAtlanta,201620AtlantaGreenBay
9,18,2016,20,True,Pittsburgh,NewEngland,17,36,53,201620PittsburghNewEngland,201620NewEnglandPittsburgh
10,20,2016,21,True,NewEngland,Atlanta,34,28,62,201621NewEnglandAtlanta,201621AtlantaNewEngland
11,22,2017,18,True,Tennessee,KansasCity,22,21,43,201718TennesseeKansasCity,201718KansasCityTennessee
12,24,2017,18,True,Atlanta,LARams,26,13,39,201718AtlantaLARams,201718LARamsAtlanta
13,26,2017,18,True,Buffalo,Jacksonville,3,10,13,201718BuffaloJacksonville,201718JacksonvilleBuffalo
14,28,2017,18,True,Carolina,NewOrleans,26,31,57,201718CarolinaNewOrleans,201718NewOrleansCarolina
15,30,2017,19,True,Atlanta,Philadelphia,10,15,25,201719AtlantaPhiladelphia,201719PhiladelphiaAtlanta
16,32,2017,19,True,Tennessee,NewEngland,14,35,49,201719TennesseeNewEngland,201719NewEnglandTennessee
17,34,2017,19,True,Jacksonville,Pittsburgh,45,42,87,201719JacksonvillePittsburgh,201719PittsburghJacksonville
18,36,2017,19,True,NewOrleans,Minnesota,24,29,53,201719NewOrleansMinnesota,201719MinnesotaNewOrleans
19,38,2017,20,True,Jacksonville,NewEngland,20,24,44,201720JacksonvilleNewEngland,201720NewEnglandJacksonville
20,40,2017,20,True,Minnesota,Philadelphia,7,38,45,201720MinnesotaPhiladelphia,201720PhiladelphiaMinnesota
21,42,2017,21,True,Philadelphia,NewEngland,41,33,74,201721PhiladelphiaNewEngland,201721NewEnglandPhiladelphia
22,44,2018,18,True,Indianapolis,Houston,21,7,28,201818IndianapolisHouston,201818HoustonIndianapolis
23,46,2018,18,True,Seattle,Dallas,22,24,46,201818SeattleDallas,201818DallasSeattle
24,48,2018,18,True,LAChargers,Baltimore,23,17,40,201818LAChargersBaltimore,201818BaltimoreLAChargers
25,50,2018,18,True,Philadelphia,Chicago,16,15,31,201818PhiladelphiaChicago,201818ChicagoPhiladelphia
26,52,2018,19,True,Indianapolis,KansasCity,13,31,44,201819IndianapolisKansasCity,201819KansasCityIndianapolis
27,54,2018,19,True,Dallas,LARams,22,30,52,201819DallasLARams,201819LARamsDallas
28,56,2018,19,True,LAChargers,NewEngland,28,41,69,201819LAChargersNewEngland,201819NewEnglandLAChargers
29,58,2018,19,True,Philadelphia,NewOrleans,14,20,34,201819PhiladelphiaNewOrleans,201819NewOrleansPhiladelphia
30,60,2018,20,True,LARams,NewOrleans,26,23,49,201820LARamsNewOrleans,201820NewOrleansLARams
31,62,2018,20,True,NewEngland,KansasCity,37,31,68,201820NewEnglandKansasCity,201820KansasCityNewEngland
32,64,2018,21,True,NewEngland,LARams,13,3,16,201821NewEnglandLARams,201821LARamsNewEngland
33,66,2019,18,True,Buffalo,Houston,19,22,41,201918BuffaloHouston,201918HoustonBuffalo
34,68,2019,18,True,Tennessee,NewEngland,20,13,33,201918TennesseeNewEngland,201918NewEnglandTennessee
35,70,2019,18,True,Minnesota,NewOrleans,26,20,46,201918MinnesotaNewOrleans,201918NewOrleansMinnesota
36,72,2019,18,True,Seattle,Philadelphia,17,9,26,201918SeattlePhiladelphia,201918PhiladelphiaSeattle
