,index,Season,Week,Include,Team 1,Team 2,Team 1 Final,Team 2 Final,Total Final,Game ID 1,Game ID 2
0,0,2016,18,True,Oakland,Houston,14.0,27.0,41.0,201618OaklandHouston,201618HoustonOakland
1,2,2016,18,True,Detroit,Seattle,6.0,26.0,32.0,201618DetroitSeattle,201618SeattleDetroit
2,4,2016,18,True,Miami,Pittsburgh,12.0,30.0,42.0,201618MiamiPittsburgh,201618PittsburghMiami
3,6,2016,18,True,NYGiants,GreenBay,13.0,38.0,51.0,201618NYGiantsGreenBay,201618GreenBayNYGiants
4,8,2016,19,True,Seattle,Atlanta,20.0,36.0,56.0,201619SeattleAtlanta,201619AtlantaSeattle
5,10,2016,19,True,Houston,NewEngland,16.0,34.0,50.0,201619HoustonNewEngland,201619NewEnglandHouston
6,12,2016,19,True,GreenBay,Dallas,34.0,31.0,65.0,201619GreenBayDallas,201619DallasGreenBay
7,14,2016,19,True,Pittsburgh,KansasCity,18.0,16.0,34.0,201619PittsburghKansasCity,201619KansasCityPittsburgh
8,16,2016,20,True,GreenBay,Atlanta,21.0,44.0,65.0,201620GreenBayAtlanta,201620AtlantaGreenBay
9,18,2016,20,True,Pittsburgh,NewEngland,17.0,36.0,53.0,201620PittsburghNewEngland,201620NewEnglandPittsburgh
10,20,2016,22,True,NewEngland,Atlanta,34.0,28.0,62.0,201622NewEnglandAtlanta,201622AtlantaNewEngland
11,22,2017,18,True,Tennessee,KansasCity,22.0,21.0,43.0,201718TennesseeKansasCity,201718KansasCityTennessee
12,24,2017,18,True,Atlanta,LARams,26.0,13.0,39.0,201718AtlantaLARams,201718LARamsAtlanta
13,26,2017,18,True,Buffalo,Jacksonville,3.0,10.0,13.0,201718BuffaloJacksonville,201718JacksonvilleBuffalo
14,28,2017,18,True,Carolina,NewOrleans,26.0,31.0,57.0,201718CarolinaNewOrleans,201718NewOrleansCarolina
15,30,2017,19,True,Atlanta,Philadelphia,10.0,15.0,25.0,201719AtlantaPhiladelphia,201719PhiladelphiaAtlanta
16,32,2017,19,True,Tennessee,NewEngland,14.0,35.0,49.0,201719TennesseeNewEngland,201719NewEnglandTennessee
17,34,2017,19,True,Jacksonville,Pittsburgh,45.0,42.0,87.0,201719JacksonvillePittsburgh,201719PittsburghJacksonville
18,36,2017,19,True,NewOrleans,Minnesota,24.0,29.0,53.0,201719NewOrleansMinnesota,201719MinnesotaNewOrleans
19,38,2017,20,True,Jacksonville,NewEngland,20.0,24.0,44.0,201720JacksonvilleNewEngland,201720NewEnglandJacksonville
20,40,2017,20,True,Minnesota,Philadelphia,7.0,38.0,45.0,201720MinnesotaPhiladelphia,201720PhiladelphiaMinnesota
21,42,2017,22,True,Philadelphia,NewEngland,41.0,33.0,74.0,201722PhiladelphiaNewEngland,201722NewEnglandPhiladelphia
22,44,2018,18,True,Indianapolis,Houston,21.0,7.0,28.0,201818IndianapolisHouston,201818HoustonIndianapolis
23,46,2018,18,True,Seattle,Dallas,22.0,24.0,46.0,201818SeattleDallas,201818DallasSeattle
24,48,2018,18,True,LAChargers,Baltimore,23.0,17.0,40.0,201818LAChargersBaltimore,201818BaltimoreLAChargers
25,50,2018,18,True,Philadelphia,Chicago,16.0,15.0,31.0,201818PhiladelphiaChicago,201818ChicagoPhiladelphia
26,52,2018,19,True,Indianapolis,KansasCity,13.0,31.0,44.0,201819IndianapolisKansasCity,201819KansasCityIndianapolis
27,54,2018,19,True,Dallas,LARams,22.0,30.0,52.0,201819DallasLARams,201819LARamsDallas
28,56,2018,19,True,LAChargers,NewEngland,28.0,41.0,69.0,201819LAChargersNewEngland,201819NewEnglandLAChargers
29,58,2018,19,True,Philadelphia,NewOrleans,14.0,20.0,34.0,201819PhiladelphiaNewOrleans,201819NewOrleansPhiladelphia
30,60,2018,20,True,LARams,NewOrleans,26.0,23.0,49.0,201820LARamsNewOrleans,201820NewOrleansLARams
31,62,2018,20,True,NewEngland,KansasCity,37.0,31.0,68.0,201820NewEnglandKansasCity,201820KansasCityNewEngland
32,64,2018,22,True,NewEngland,LARams,13.0,3.0,16.0,201822NewEnglandLARams,201822LARamsNewEngland
33,66,2019,18,True,Buffalo,Houston,19.0,22.0,41.0,201918BuffaloHouston,201918HoustonBuffalo
34,68,2019,18,True,Tennessee,NewEngland,20.0,13.0,33.0,201918TennesseeNewEngland,201918NewEnglandTennessee
35,70,2019,18,True,Minnesota,NewOrleans,26.0,20.0,46.0,201918MinnesotaNewOrleans,201918NewOrleansMinnesota
36,72,2019,18,True,Seattle,Philadelphia,17.0,9.0,26.0,201918SeattlePhiladelphia,201918PhiladelphiaSeattle
37,74,2019,19,True,Minnesota,SanFrancisco,10.0,27.0,37.0,201919MinnesotaSanFrancisco,201919SanFranciscoMinnesota
38,76,2019,19,True,Tennessee,Baltimore,28.0,12.0,40.0,201919TennesseeBaltimore,201919BaltimoreTennessee
39,78,2019,19,True,Houston,KansasCity,31.0,51.0,82.0,201919HoustonKansasCity,201919KansasCityHouston
40,80,2019,19,True,Seattle,GreenBay,23.0,28.0,51.0,201919SeattleGreenBay,201919GreenBaySeattle
41,82,2019,20,True,Tennessee,KansasCity,24.0,35.0,59.0,201920TennesseeKansasCity,201920KansasCityTennessee
42,84,2019,20,True,GreenBay,SanFrancisco,20.0,37.0,57.0,201920GreenBaySanFrancisco,201920SanFranciscoGreenBay
43,86,2019,22,True,SanFrancisco,KansasCity,20.0,31.0,51.0,201922SanFranciscoKansasCity,201922KansasCitySanFrancisco
44,88,2016,1,True,Carolina,Denver,20.0,21.0,41.0,20161CarolinaDenver,20161DenverCarolina
45,90,2016,1,True,TampaBay,Atlanta,31.0,24.0,55.0,20161TampaBayAtlanta,20161AtlantaTampaBay
46,92,2016,1,True,Minnesota,Tennessee,25.0,16.0,41.0,20161MinnesotaTennessee,20161TennesseeMinnesota
47,94,2016,1,True,Cleveland,Philadelphia,10.0,29.0,39.0,20161ClevelandPhiladelphia,20161PhiladelphiaCleveland
48,96,2016,1,True,Cincinnati,NYJets,23.0,22.0,45.0,20161CincinnatiNYJets,20161NYJetsCincinnati
49,98,2016,1,True,Oakland,NewOrleans,35.0,34.0,69.0,20161OaklandNewOrleans,20161NewOrleansOakland
50,100,2016,1,True,SanDiego,KansasCity,27.0,33.0,60.0,20161SanDiegoKansasCity,20161KansasCitySanDiego
51,102,2016,1,True,Buffalo,Baltimore,7.0,13.0,20.0,20161BuffaloBaltimore,20161BaltimoreBuffalo
52,104,2016,1,True,Chicago,Houston,14.0,23.0,37.0,20161ChicagoHouston,20161HoustonChicago
53,106,2016,1,True,GreenBay,Jacksonville,27.0,23.0,50.0,20161GreenBayJacksonville,20161JacksonvilleGreenBay
