,_id,Team,Win-Loss,Streak,Open,Closing,Consensus_Spread,Consensus_Money,Consensus_OU,Season,Week
0,5f98877a1e3e51b1b60328e4,451 Houston,(0-0) (0-0 A),,56.5,53.5,50%,26%,72%,2020,1
1,5f98877a1e3e51b1b60328e5,452 Kansas City Â«,(0-0) (0-0 H),,-10,-9.5,50%,74%,28%,2020,1
2,5f98877a1e3e51b1b60328e6,0 Las Vegas Â«,(0-0) (0-0 A),,,,,,,2020,1
3,5f98877a1e3e51b1b60328e7,0 Carolina,(0-0) (0-0 H),,,,,,,2020,1
4,5f98877a1e3e51b1b60328e8,453 Miami,(0-0) (0-0 A),,43.5,41.5,42%,51%,58%,2020,1
5,5f98877a1e3e51b1b60328e9,454 New England Â«,(0-0) (0-0 H),,-5.5,-7,58%,49%,42%,2020,1
6,5f98877a1e3e51b1b60328ea,455 Cleveland,(0-0) (0-0 A),,48.5,47.5,40%,25%,72%,2020,1
7,5f98877a1e3e51b1b60328eb,456 Baltimore Â«,(0-0) (0-0 H),,-9,-7,60%,75%,28%,2020,1
8,5f98877a1e3e51b1b60328ec,457 N.Y. Jets,(0-0) (0-0 A),,40.0,39,20%,23%,49%,2020,1
9,5f98877a1e3e51b1b60328ed,458 Buffalo Â«,(0-0) (0-0 H),,-5.5,-6,80%,77%,51%,2020,1
10,5f98877a1e3e51b1b60328ee,459 Las Vegas Â«,(0-0) (0-0 A),,PK,-3,55%,47%,55%,2020,1
11,5f98877a1e3e51b1b60328ef,460 Carolina,(0-0) (0-0 H),,46.5,48,45%,53%,45%,2020,1
12,5f98877a1e3e51b1b60328f0,461 Seattle Â«,(0-0) (0-0 A),,-1,PK,42%,48%,62%,2020,1
13,5f98877a1e3e51b1b60328f1,462 Atlanta,(0-0) (0-0 H),,48.5,49.5,58%,52%,38%,2020,1
14,5f98877a1e3e51b1b60328f2,463 Philadelphia,(0-0) (0-0 A),,-5.5,-5.5,51%,63%,57%,2020,1
15,5f98877a1e3e51b1b60328f3,464 Washington Â«,(0-0) (0-0 H),,45.5,41.5,49%,37%,43%,2020,1
16,5f98877a1e3e51b1b60328f4,465 Chicago Â«,(0-0) (0-0 A),,PK,42,45%,36%,55%,2020,1
17,5f98877a1e3e51b1b60328f5,466 Detroit,(0-0) (0-0 H),,44.0,-2,55%,64%,45%,2020,1
18,5f98877a1e3e51b1b60328f6,467 Indianapolis,(0-0) (0-0 A),,-7,-7,66%,75%,58%,2020,1
19,5f98877a1e3e51b1b60328f7,468 Jacksonville Â«,(0-0) (0-0 H),,46.0,44.5,34%,25%,42%,2020,1
20,5f98877a1e3e51b1b60328f8,469 Green Bay Â«,(0-0) (0-0 A),,46.5,44.5,52%,45%,44%,2020,1
21,5f98877a1e3e51b1b60328f9,470 Minnesota,(0-0) (0-0 H),,-3,-1.5,48%,55%,56%,2020,1
22,5f98877a1e3e51b1b60328fa,471 L.A. Chargers Â«,(0-0) (0-0 A),,-3.5,-2.5,48%,42%,40%,2020,1
23,5f98877a1e3e51b1b60328fb,472 Cincinnati,(0-0) (0-0 H),,46.5,41,52%,58%,60%,2020,1
24,5f98877a1e3e51b1b60328fc,473 Arizona Â«,(0-0) (0-0 A),,45.5,-7.5,48%,35%,64%,2020,1
25,5f98877a1e3e51b1b60328fd,474 San Francisco,(0-0) (0-0 H),,-7.5,50,52%,65%,36%,2020,1
26,5f98877a1e3e51b1b60328fe,475 Tampa Bay,(0-0) (0-0 A),,50.5,48.5,58%,46%,82%,2020,1
27,5f98877a1e3e51b1b60328ff,476 New Orleans Â«,(0-0) (0-0 H),,-4.5,-4,42%,54%,18%,2020,1
28,5f98877a1e3e51b1b6032900,477 Dallas,(0-0) (0-0 A),,-2.5,PK,66%,60%,60%,2020,1
29,5f98877a1e3e51b1b6032901,478 L.A. Rams Â«,(0-0) (0-0 H),,50.5,52,34%,40%,40%,2020,1
30,5f98877a1e3e51b1b6032902,479 Pittsburgh,(0-0) (0-0 A),,-3,-6,69%,79%,59%,2020,1
31,5f98877a1e3e51b1b6032903,480 N.Y. Giants,(0-0) (0-0 H),,48.0,44,31%,21%,41%,2020,1
32,5f98877a1e3e51b1b6032904,481 Tennessee,(0-0) (0-0 A),,42.5,-3,67%,78%,58%,2020,1
33,5f98877a1e3e51b1b6032905,482 Denver,(0-0) (0-0 H),,-1.5,41.5,33%,22%,42%,2020,1
34,5f98877c1e3e51b1b6032907,101 Cincinnati,(0-1) (0-0 A),L-1,46.0,44.5,58%,42%,59%,2020,2
35,5f98877c1e3e51b1b6032908,102 Cleveland Â«,(0-1) (0-0 H),L-1,-8.5,-6,42%,58%,41%,2020,2
36,5f98877c1e3e51b1b6032909,261 L.A. Rams Â«,(1-0) (0-0 A),W-1,49.0,46,70%,56%,75%,2020,2
37,5f98877c1e3e51b1b603290a,262 Philadelphia,(0-1) (0-0 H),L-1,-4.5,-1.5,30%,44%,25%,2020,2
38,5f98877c1e3e51b1b603290b,263 Carolina,(0-1) (0-0 A),L-1,48.0,47,39%,21%,74%,2020,2
39,5f98877c1e3e51b1b603290c,264 Tampa Bay Â«,(0-1) (0-0 H),L-1,-8.5,-8.5,61%,79%,26%,2020,2
40,5f98877c1e3e51b1b603290d,265 Denver,(0-1) (0-0 A),L-1,44.0,41,29%,10%,46%,2020,2
41,5f98877c1e3e51b1b603290e,266 Pittsburgh Â«,(1-0) (0-0 H),W-1,-5,-6.5,71%,90%,54%,2020,2
42,5f98877c1e3e51b1b603290f,267 Atlanta,(0-1) (0-0 A),L-1,50.0,53.5,40%,35%,86%,2020,2
43,5f98877c1e3e51b1b6032910,268 Dallas Â«,(0-1) (0-0 H),L-1,-7.5,-3,60%,65%,14%,2020,2
