,Spread Delta,Follow Spread?
0,-0.5,True
1,,False
2,3.0,False
3,1.5,False
4,-2.0,True
5,0.5,False
6,-1.0,False
7,0.0,False
8,2.0,True
9,0.0,False
10,-1.5,False
11,-1.0,True
12,0.0,False
13,-0.5,True
14,-2.5,False
15,3.0,False
16,1.5,True
17,-2.5,False
18,-3.0,False
19,0.0,True
20,1.5,True
21,-4.5,False
22,3.0,False
23,2.5,True
24,0.0,True
25,0.0,True
26,-0.5,False
27,-4.0,False
28,0.0,True
29,1.5,False
30,3.5,True
31,1.0,False
32,-1.0,False
33,2.5,True
34,0.5,False
35,-1.0,True
36,-2.0,True
37,-3.5,True
38,2.5,True
39,1.5,False
40,0.0,False
41,-1.0,False
42,4.5,False
43,-0.5,False
44,1.5,True
45,2.5,False
46,2.0,False
47,-3.5,False
48,1.0,True
49,,True
50,3.5,False
51,-1.0,True
52,-0.5,False
53,-1.5,True
54,-0.5,False
55,-0.5,False
56,-2.0,True
57,3.0,True
58,2.0,False
59,4.5,True
60,-1.0,True
61,0.0,True
62,0.5,False
63,5.0,True
64,0.0,True
65,0.5,True
66,-1.0,False
67,-1.0,False
68,-2.5,True
69,0.0,True
70,,True
71,-3.5,False
72,-1.5,True
73,0.5,False
74,-0.5,True
75,-0.5,False
76,-3.5,False
77,-1.5,True
78,-2.5,False
79,-0.5,False
80,-1.5,False
81,0.5,False
82,0.0,False
83,-1.5,True
84,-2.0,False
85,-2.5,True
86,3.0,True
87,-2.0,False
88,-0.5,False
89,-0.5,False
90,1.0,False
91,,False
92,-2.0,False
93,2.5,False
94,-2.0,False
95,-0.5,False
96,-3.5,False
97,-0.5,False
98,0.0,False
99,-1.0,False
100,-0.5,True
101,1.0,True
102,-2.0,False
103,-3.0,True
104,1.5,False
105,0.0,False
106,0.0,True
107,-1.0,True
108,-0.5,False
109,-0.5,True
110,1.5,True
111,-0.5,False
112,3.0,False
113,-1.5,False
114,-2.0,True
115,0.5,True
116,-1.0,True
117,2.5,True
118,0.5,True
119,2.5,False
120,-0.5,True
121,-0.5,True
122,-2.0,False
