,Season_x,Week_x,Team 1_x,Team 2_x,Spread Open,Spread Close,Open Favorite,Close Favorite,Spread Consensus Team 1,Spread Consensus Team 2,Team 1 Final,Team 2 Final,Total Final,Spread Delta,Winner,Win Margin,Follow Spread?
0,2020,1,Houston,KansasCity,-10.0,-9.5,Team 2,Team 2,50%,50%,20.0,34.0,54.0,-0.5,Team 2,14.0,True
1,2020,1,LasVegas,Carolina,,,Team 1,Team 1,,,34.0,30.0,64.0,,Team 1,4.0,False
2,2020,1,LasVegas,Carolina,0.0,-3.0,No Favorite,Team 1,55%,45%,34.0,30.0,64.0,3.0,Team 1,4.0,False
3,2020,1,Miami,NewEngland,-5.5,-7.0,Team 2,Team 2,42%,58%,11.0,21.0,32.0,1.5,Team 2,10.0,False
4,2020,1,Cleveland,Baltimore,-9.0,-7.0,Team 2,Team 2,40%,60%,6.0,38.0,44.0,-2.0,Team 2,32.0,True
5,2020,1,NYJets,Buffalo,-5.5,-6.0,Team 2,Team 2,20%,80%,17.0,27.0,44.0,0.5,Team 2,10.0,False
6,2020,1,Seattle,Atlanta,-1.0,0.0,Team 1,No Favorite,42%,58%,38.0,25.0,63.0,-1.0,Team 1,13.0,False
7,2020,1,Philadelphia,Washington,-5.5,-5.5,Team 1,Team 1,51%,49%,17.0,27.0,44.0,0.0,Team 2,10.0,False
8,2020,1,Chicago,Detroit,0.0,-2.0,No Favorite,Team 2,45%,55%,27.0,23.0,50.0,2.0,Team 1,4.0,True
9,2020,1,Indianapolis,Jacksonville,-7.0,-7.0,Team 1,Team 1,66%,34%,20.0,27.0,47.0,0.0,Team 2,7.0,False
10,2020,1,GreenBay,Minnesota,-3.0,-1.5,Team 2,Team 2,52%,48%,43.0,34.0,77.0,-1.5,Team 1,9.0,False
11,2020,1,LAChargers,Cincinnati,-3.5,-2.5,Team 1,Team 1,48%,52%,16.0,13.0,29.0,-1.0,Team 1,3.0,True
12,2020,1,Arizona,SanFrancisco,-7.5,-7.5,Team 2,Team 1,48%,52%,24.0,20.0,44.0,0.0,Team 1,4.0,False
13,2020,1,TampaBay,NewOrleans,-4.5,-4.0,Team 2,Team 2,58%,42%,23.0,34.0,57.0,-0.5,Team 2,11.0,True
14,2020,1,Dallas,LARams,-2.5,0.0,Team 1,No Favorite,66%,34%,17.0,20.0,37.0,-2.5,Team 2,3.0,False
15,2020,1,Pittsburgh,NYGiants,-3.0,-6.0,Team 1,Team 1,69%,31%,26.0,16.0,42.0,3.0,Team 1,10.0,False
16,2020,1,Tennessee,Denver,-1.5,-3.0,Team 2,Team 1,67%,33%,16.0,14.0,30.0,1.5,Team 1,2.0,True
17,2020,2,Cincinnati,Cleveland,-8.5,-6.0,Team 2,Team 2,58%,42%,30.0,35.0,65.0,-2.5,Team 2,5.0,False
18,2020,2,LARams,Philadelphia,-4.5,-1.5,Team 2,Team 2,70%,30%,37.0,19.0,56.0,-3.0,Team 1,18.0,False
19,2020,2,Carolina,TampaBay,-8.5,-8.5,Team 2,Team 2,39%,61%,17.0,31.0,48.0,0.0,Team 2,14.0,True
20,2020,2,Denver,Pittsburgh,-5.0,-6.5,Team 2,Team 2,29%,71%,21.0,26.0,47.0,1.5,Team 2,5.0,True
21,2020,2,Atlanta,Dallas,-7.5,-3.0,Team 2,Team 2,40%,60%,39.0,40.0,79.0,-4.5,Team 2,1.0,False
22,2020,2,SanFrancisco,NYJets,-4.0,-7.0,Team 1,Team 1,68%,32%,31.0,13.0,44.0,3.0,Team 1,18.0,False
23,2020,2,Buffalo,Miami,-3.0,-5.5,Team 1,Team 1,67%,33%,31.0,28.0,59.0,2.5,Team 1,3.0,True
24,2020,2,Minnesota,Indianapolis,-3.5,-3.5,Team 2,Team 2,72%,28%,11.0,28.0,39.0,0.0,Team 2,17.0,True
25,2020,2,Detroit,GreenBay,-6.5,-6.5,Team 2,Team 2,27%,73%,21.0,42.0,63.0,0.0,Team 2,21.0,True
26,2020,2,NYGiants,Chicago,-5.0,-4.5,Team 2,Team 2,61%,39%,13.0,17.0,30.0,-0.5,Team 2,4.0,False
27,2020,2,Jacksonville,Tennessee,-11.0,-7.0,Team 2,Team 2,45%,55%,30.0,33.0,63.0,-4.0,Team 2,3.0,False
